date,symbol,positive,neutral,negative,count
2012-04-30,MMM,0.6666666666666666,0.0,0.3333333333333333,3
2012-05-31,MMM,0.6666666666666666,0.0,0.3333333333333333,3
2012-06-30,MMM,0.6666666666666666,0.0,0.3333333333333333,3
2012-07-31,MMM,0.6,0.2,0.2,5
2012-08-31,MMM,0.6,0.2,0.2,5
2012-09-30,MMM,0.5,0.3333333333333333,0.16666666666666666,6
2012-10-31,MMM,0.42857142857142855,0.42857142857142855,0.14285714285714285,7
2012-11-30,MMM,0.375,0.5,0.125,8
2012-12-31,MMM,0.375,0.5,0.125,8
2013-01-31,MMM,0.3333333333333333,0.4444444444444444,0.2222222222222222,9
2013-02-28,MMM,0.3333333333333333,0.4444444444444444,0.2222222222222222,9
2013-03-31,MMM,0.4,0.4,0.2,10
2013-04-30,MMM,0.4,0.4,0.2,10
2013-05-31,MMM,0.4444444444444444,0.4444444444444444,0.1111111111111111,9
2013-06-30,MMM,0.4444444444444444,0.4444444444444444,0.1111111111111111,9
2013-07-31,MMM,0.3333333333333333,0.5555555555555556,0.1111111111111111,9
2013-08-31,MMM,0.3333333333333333,0.5555555555555556,0.1111111111111111,9
2013-09-30,MMM,0.3333333333333333,0.5555555555555556,0.1111111111111111,9
2013-10-31,MMM,0.4,0.5,0.1,10
2013-11-30,MMM,0.4,0.5,0.1,10
2013-12-31,MMM,0.5,0.42857142857142855,0.07142857142857142,14
2014-01-31,MMM,0.5,0.42857142857142855,0.07142857142857142,14
2014-02-28,MMM,0.42857142857142855,0.5,0.07142857142857142,14
2014-03-31,MMM,0.42857142857142855,0.5,0.07142857142857142,14
2014-04-30,MMM,0.38461538461538464,0.5384615384615384,0.07692307692307693,13
2014-05-31,MMM,0.38461538461538464,0.5384615384615384,0.07692307692307693,13
2014-06-30,MMM,0.38461538461538464,0.5384615384615384,0.07692307692307693,13
2014-07-31,MMM,0.38461538461538464,0.5384615384615384,0.07692307692307693,13
2014-08-31,MMM,0.38461538461538464,0.5384615384615384,0.07692307692307693,13
2014-09-30,MMM,0.35714285714285715,0.5714285714285714,0.07142857142857142,14
2014-10-31,MMM,0.3333333333333333,0.6,0.06666666666666667,15
2014-11-30,MMM,0.26666666666666666,0.6,0.13333333333333333,15
2014-12-31,MMM,0.26666666666666666,0.6,0.13333333333333333,15
2015-01-31,MMM,0.26666666666666666,0.6,0.13333333333333333,15
2015-02-28,MMM,0.26666666666666666,0.6,0.13333333333333333,15
2015-03-31,MMM,0.3076923076923077,0.5384615384615384,0.15384615384615385,13
2015-04-30,MMM,0.3076923076923077,0.5384615384615384,0.15384615384615385,13
2015-05-31,MMM,0.3076923076923077,0.5384615384615384,0.15384615384615385,13
2015-06-30,MMM,0.3076923076923077,0.5384615384615384,0.15384615384615385,13
2015-07-31,MMM,0.3076923076923077,0.5384615384615384,0.15384615384615385,13
2015-08-31,MMM,0.2727272727272727,0.5454545454545454,0.18181818181818182,11
2015-09-30,MMM,0.36363636363636365,0.45454545454545453,0.18181818181818182,11
2015-10-31,MMM,0.4,0.4,0.2,10
2015-11-30,MMM,0.4,0.4,0.2,10
2015-12-31,MMM,0.4444444444444444,0.4444444444444444,0.1111111111111111,9
2016-01-31,MMM,0.5,0.5,0.0,8
2016-02-29,MMM,0.5,0.5,0.0,4
2016-03-31,MMM,0.42857142857142855,0.42857142857142855,0.14285714285714285,7
2016-04-30,MMM,0.5,0.375,0.125,8
2016-05-31,MMM,0.5,0.375,0.125,8
2016-06-30,MMM,0.5,0.375,0.125,8
2016-07-31,MMM,0.5,0.375,0.125,8
2016-08-31,MMM,0.5,0.375,0.125,8
2016-09-30,MMM,0.5,0.375,0.125,8
2016-10-31,MMM,0.625,0.25,0.125,8
2016-11-30,MMM,0.5555555555555556,0.2222222222222222,0.2222222222222222,9
2016-12-31,MMM,0.5,0.3,0.2,10
2017-01-31,MMM,0.5,0.3,0.2,10
2017-02-28,MMM,0.5555555555555556,0.2222222222222222,0.2222222222222222,9
2017-03-31,MMM,0.5555555555555556,0.2222222222222222,0.2222222222222222,9
2017-04-30,MMM,0.6,0.2,0.2,5
2017-05-31,MMM,0.5,0.25,0.25,4
2017-06-30,MMM,0.5,0.25,0.25,4
2017-07-31,MMM,0.5,0.16666666666666666,0.3333333333333333,6
2017-08-31,MMM,0.5,0.16666666666666666,0.3333333333333333,6
2017-09-30,MMM,0.42857142857142855,0.14285714285714285,0.42857142857142855,7
2017-10-31,MMM,0.5454545454545454,0.2727272727272727,0.18181818181818182,11
2017-11-30,MMM,0.5,0.3,0.2,10
2017-12-31,MMM,0.4444444444444444,0.3333333333333333,0.2222222222222222,9
2018-01-31,MMM,0.5,0.3,0.2,10
2018-02-28,MMM,0.45454545454545453,0.2727272727272727,0.2727272727272727,11
2018-03-31,MMM,0.45454545454545453,0.2727272727272727,0.2727272727272727,11
2018-04-30,MMM,0.45454545454545453,0.2727272727272727,0.2727272727272727,11
2018-05-31,MMM,0.46153846153846156,0.3076923076923077,0.23076923076923078,13
2018-06-30,MMM,0.46153846153846156,0.3076923076923077,0.23076923076923078,13
2018-07-31,MMM,0.46153846153846156,0.3076923076923077,0.23076923076923078,13
2018-08-31,MMM,0.46153846153846156,0.38461538461538464,0.15384615384615385,13
2018-09-30,MMM,0.42857142857142855,0.42857142857142855,0.14285714285714285,14
2018-10-31,MMM,0.42857142857142855,0.42857142857142855,0.14285714285714285,14
2018-11-30,MMM,0.4166666666666667,0.4166666666666667,0.16666666666666666,12
2018-12-31,MMM,0.4166666666666667,0.4166666666666667,0.16666666666666666,12
